"filename", "language", "Dart", "comment", "blank", "total"
"c:\Users\Erfan\Dev\Flutter\Projects\soulscribe\lib\pages\main\pages\home\components\date_indicator.dart", "Dart", 126, 0, 5, 131
"c:\Users\Erfan\Dev\Flutter\Projects\soulscribe\lib\pages\main\pages\home\components\day_entries.dart", "Dart", 248, 0, 13, 261
"c:\Users\Erfan\Dev\Flutter\Projects\soulscribe\lib\pages\main\pages\home\components\entries.dart", "Dart", 54, 0, 4, 58
"c:\Users\Erfan\Dev\Flutter\Projects\soulscribe\lib\pages\main\pages\home\components\entries_error.dart", "Dart", 45, 0, 3, 48
"c:\Users\Erfan\Dev\Flutter\Projects\soulscribe\lib\pages\main\pages\home\home.dart", "Dart", 51, 0, 3, 54
"c:\Users\Erfan\Dev\Flutter\Projects\soulscribe\lib\pages\main\pages\quotes\components\quote_builder.dart", "Dart", 270, 0, 7, 277
"c:\Users\Erfan\Dev\Flutter\Projects\soulscribe\lib\pages\main\pages\quotes\components\quote_category.dart", "Dart", 8, 0, 3, 11
"c:\Users\Erfan\Dev\Flutter\Projects\soulscribe\lib\pages\main\pages\quotes\components\quote_settings.dart", "Dart", 123, 0, 6, 129
"c:\Users\Erfan\Dev\Flutter\Projects\soulscribe\lib\pages\main\pages\quotes\quotes.dart", "Dart", 43, 0, 2, 45
"c:\Users\Erfan\Dev\Flutter\Projects\soulscribe\lib\pages\main\pages\settings\components\settings_item.dart", "Dart", 180, 0, 5, 185
"c:\Users\Erfan\Dev\Flutter\Projects\soulscribe\lib\pages\main\pages\settings\settings.dart", "Dart", 178, 0, 6, 184
"c:\Users\Erfan\Dev\Flutter\Projects\soulscribe\lib\pages\new_entry\components\datepicker.dart", "Dart", 74, 4, 3, 81
"c:\Users\Erfan\Dev\Flutter\Projects\soulscribe\lib\pages\new_entry\components\journal_textfeild.dart", "Dart", 104, 0, 4, 108
"c:\Users\Erfan\Dev\Flutter\Projects\soulscribe\lib\pages\new_entry\components\moodpicker.dart", "Dart", 37, 0, 3, 40
"c:\Users\Erfan\Dev\Flutter\Projects\soulscribe\lib\pages\new_entry\components\save.dart", "Dart", 168, 0, 5, 173
"c:\Users\Erfan\Dev\Flutter\Projects\soulscribe\lib\pages\new_entry\components\title_textfield.dart", "Dart", 47, 0, 4, 51
"c:\Users\Erfan\Dev\Flutter\Projects\soulscribe\lib\pages\new_entry\controller.dart", "Dart", 21, 0, 4, 25
"c:\Users\Erfan\Dev\Flutter\Projects\soulscribe\lib\pages\new_entry\new-entry.dart", "Dart", 131, 1, 5, 137
"c:\Users\Erfan\Dev\Flutter\Projects\soulscribe\lib\pages\user_setup\components\button.dart", "Dart", 70, 0, 8, 78
"c:\Users\Erfan\Dev\Flutter\Projects\soulscribe\lib\pages\user_setup\components\name.dart", "Dart", 83, 0, 6, 89
"c:\Users\Erfan\Dev\Flutter\Projects\soulscribe\lib\pages\user_setup\components\text.dart", "Dart", 82, 0, 6, 88
"c:\Users\Erfan\Dev\Flutter\Projects\soulscribe\lib\pages\user_setup\user_setup.dart", "Dart", 39, 0, 3, 42
